TimeStamp;Source1;Source2;Source3
10:56:00,000;B;J;B
10:56:00,001;G;B;D
10:56:00,002;G;D;G
10:56:00,008;E;E;E
10:56:00,010;H;F;C
10:56:00,011;I;I;I
10:56:00,014;C;H;H
10:56:00,017;J;C;H
10:56:00,019;B;D;I
10:56:00,021;I;G;J
10:56:00,025;I;H;D
10:56:00,026;E;E;B
10:56:00,029;F;J;H
10:56:00,033;C;I;D
10:56:00,034;G;F;J
10:56:00,037;I;D;I
10:56:00,041;B;J;I
10:56:00,045;F;B;E
10:56:00,046;G;D;H
10:56:00,047;E;J;B
10:56:00,048;E;E;G
10:56:00,049;J;D;I
10:56:00,052;I;E;B
10:56:00,056;D;C;C
10:56:00,057;C;H;F
10:56:00,060;J;H;B
10:56:00,064;H;I;B
10:56:00,065;G;E;F
10:56:00,067;E;I;H
10:56:00,069;E;D;B
10:56:00,071;H;B;G
10:56:00,076;G;E;G
10:56:00,076;F;D;F
10:56:00,076;C;H;G
10:56:00,077;I;B;I
10:56:00,080;D;F;J
10:56:00,083;D;J;G
10:56:00,085;E;F;F
10:56:00,088;C;H;B
10:56:00,088;I;C;F
10:56:00,092;I;B;C
10:56:00,093;G;J;H
10:56:00,095;G;J;J
10:56:00,099;B;E;H
10:56:00,099;H;B;B
10:56:00,101;H;D;C
10:56:00,103;H;C;F
10:56:00,107;E;E;J
10:56:00,107;I;F;I
10:56:00,107;B;B;D
10:56:00,108;E;E;H
10:56:00,111;D;C;G
10:56:00,113;B;H;F
10:56:00,114;D;H;C
10:56:00,118;G;G;I
10:56:00,122;J;E;H
10:56:00,123;J;I;B
10:56:00,126;F;F;I
10:56:00,127;D;F;F
10:56:00,130;C;B;F
10:56:00,130;I;B;D
10:56:00,131;E;B;D
10:56:00,133;J;D;D
10:56:00,135;B;I;F
10:56:00,138;E;I;G
10:56:00,139;J;E;E
10:56:00,142;H;E;G
10:56:00,142;D;F;J
10:56:00,142;J;H;J
10:56:00,143;C;H;I
10:56:00,148;G;E;C
10:56:00,152;F;B;I
10:56:00,156;D;B;I
10:56:00,157;H;E;F
10:56:00,159;G;F;H
10:56:00,161;E;J;I
10:56:00,162;D;E;I
10:56:00,162;I;G;J
10:56:00,163;C;D;D
10:56:00,164;F;H;H
10:56:00,167;B;I;J
10:56:00,170;G;E;F
10:56:00,171;H;E;I
10:56:00,172;F;D;J
10:56:00,172;G;D;J
10:56:00,176;I;J;B
10:56:00,178;I;D;E
10:56:00,179;F;G;C
10:56:00,183;E;D;H
10:56:00,185;F;C;H
10:56:00,187;C;C;G
10:56:00,189;D;F;J
10:56:00,192;G;D;F
10:56:00,195;F;F;J
10:56:00,196;J;F;B
10:56:00,199;H;C;C
10:56:00,200;C;E;J
10:56:00,203;J;E;D
10:56:00,207;B;F;G
10:56:00,208;B;C;D
10:56:00,211;G;B;I
10:56:00,212;B;J;F
10:56:00,215;J;F;D
10:56:00,219;G;E;F
10:56:00,220;D;C;C
10:56:00,223;C;H;E
10:56:00,225;J;G;J
10:56:00,227;H;F;F
10:56:00,231;D;E;D
10:56:00,232;E;J;J
10:56:00,234;D;B;H
10:56:00,236;H;E;H
10:56:00,238;B;J;C
10:56:00,243;B;J;B
10:56:00,243;D;H;D
10:56:00,244;C;I;H
10:56:00,246;I;J;F
10:56:00,250;B;C;H
10:56:00,252;D;E;G
10:56:00,254;E;J;D
10:56:00,256;I;D;C
10:56:00,258;J;H;D
10:56:00,262;H;G;I
10:56:00,266;I;B;B
10:56:00,266;D;I;B
10:56:00,266;E;B;B
10:56:00,268;C;E;F
10:56:00,270;H;H;H
10:56:00,274;J;D;F
10:56:00,276;F;B;E
10:56:00,278;E;B;B
10:56:00,282;F;E;D
10:56:00,286;E;G;B
10:56:00,286;F;F;H
10:56:00,286;E;F;H
10:56:00,286;I;E;C
10:56:00,287;G;H;D
10:56:00,287;H;G;H
10:56:00,287;B;D;I
10:56:00,287;E;I;G
10:56:00,288;D;G;D
10:56:00,288;F;E;D
10:56:00,288;I;G;D
10:56:00,288;I;H;J
10:56:00,288;B;I;C
10:56:00,288;J;J;D
10:56:00,290;F;I;G
10:56:00,294;F;B;C
10:56:00,295;B;H;F
10:56:00,298;E;I;I
10:56:00,298;C;F;I
10:56:00,299;I;F;E
10:56:00,299;H;C;H
10:56:00,299;J;B;B
10:56:00,299;E;E;D
10:56:00,300;B;D;G
10:56:00,300;I;C;C
10:56:00,302;H;E;I
10:56:00,302;G;E;G
10:56:00,302;C;I;F
10:56:00,302;J;H;B
10:56:00,302;E;I;C
10:56:00,302;J;H;E
10:56:00,303;E;H;F
10:56:00,305;G;J;F
10:56:00,310;F;I;D
10:56:00,310;J;E;J
10:56:00,311;F;C;G
10:56:00,314;I;E;F
10:56:00,318;H;F;D
10:56:00,319;F;D;I
10:56:00,321;B;F;B
10:56:00,325;E;G;F
10:56:00,329;D;B;B
10:56:00,330;J;G;H
10:56:00,333;J;H;E
10:56:00,334;F;C;E
10:56:00,337;J;D;B
10:56:00,338;I;F;B
10:56:00,341;B;C;I
10:56:00,345;B;J;J
