TimeStamp;Source1;Source2;Source3
10:56:00,000;B;H;J
10:56:00,001;H;G;J
10:56:00,002;B;E;J
10:56:00,006;D;I;J
10:56:00,010;D;H;J
10:56:00,011;F;J;J
10:56:00,014;E;E;J
10:56:00,017;C;E;J
10:56:00,019;F;G;J
10:56:00,021;D;G;J
10:56:00,025;D;G;J
10:56:00,026;G;D;J
10:56:00,029;J;I;J
10:56:00,033;J;I;J
10:56:00,034;B;H;J
10:56:00,037;D;J;J
10:56:00,041;J;D;J
10:56:00,045;I;H;J
10:56:00,046;G;E;J
10:56:00,047;E;E;J
10:56:00,048;H;G;J
10:56:00,049;E;G;J
10:56:00,052;B;G;J
10:56:00,056;I;C;J
10:56:00,057;G;I;J
10:56:00,060;G;I;J
10:56:00,064;J;B;J
10:56:00,065;J;F;J
10:56:00,067;H;F;J
10:56:00,069;C;F;J
10:56:00,071;G;D;J
10:56:00,076;F;G;J
10:56:00,076;F;D;J
10:56:00,076;H;E;J
10:56:00,077;I;E;J
10:56:00,080;B;J;J
10:56:00,083;E;E;J
10:56:00,085;B;D;J
10:56:00,088;E;E;J
10:56:00,088;J;G;J
10:56:00,092;J;E;J
10:56:00,093;C;J;J
10:56:00,095;I;G;J
10:56:00,099;E;D;J
10:56:00,099;B;I;J
10:56:00,101;G;C;J
10:56:00,103;B;H;J
10:56:00,107;F;D;J
10:56:00,107;F;I;J
10:56:00,107;H;E;J
10:56:00,108;D;F;J
10:56:00,111;D;F;J
10:56:00,113;H;G;J
10:56:00,114;J;B;J
10:56:00,118;B;E;J
10:56:00,122;C;C;J
10:56:00,123;C;C;J
10:56:00,126;C;F;J
10:56:00,127;C;D;J
10:56:00,130;B;I;J
10:56:00,130;H;H;J
10:56:00,131;I;J;J
10:56:00,133;F;B;J
10:56:00,135;D;F;J
10:56:00,138;D;G;J
10:56:00,139;H;I;J
10:56:00,142;B;I;J
10:56:00,142;G;F;J
10:56:00,142;D;D;J
10:56:00,143;B;I;J
10:56:00,148;H;G;J
10:56:00,152;G;D;J
10:56:00,156;B;H;J
10:56:00,157;I;J;J
10:56:00,159;G;J;J
10:56:00,161;H;H;J
10:56:00,162;E;G;J
10:56:00,162;J;E;J
10:56:00,163;G;B;J
10:56:00,164;B;G;J
10:56:00,167;C;C;J
10:56:00,170;D;F;J
10:56:00,171;E;G;J
10:56:00,172;D;D;J
10:56:00,172;H;G;J
10:56:00,176;J;F;J
10:56:00,178;J;F;J
10:56:00,179;H;I;J
10:56:00,183;C;B;J
10:56:00,185;G;G;J
10:56:00,187;G;H;J
10:56:00,189;G;F;J
10:56:00,192;H;H;J
10:56:00,195;H;J;J
10:56:00,196;G;D;J
10:56:00,199;H;B;J
10:56:00,200;J;E;J
10:56:00,203;C;G;J
10:56:00,207;B;H;J
10:56:00,208;J;H;J
10:56:00,211;I;B;J
10:56:00,212;H;I;J
10:56:00,215;F;B;J
10:56:00,219;E;J;J
10:56:00,220;F;E;J
10:56:00,223;E;J;J
10:56:00,225;E;G;J
10:56:00,227;H;D;J
10:56:00,231;F;I;J
10:56:00,232;J;G;J
10:56:00,234;C;C;J
10:56:00,236;D;J;J
10:56:00,238;H;H;J
10:56:00,243;J;G;J
10:56:00,243;D;D;J
10:56:00,244;C;D;J
10:56:00,246;G;G;J
10:56:00,250;G;C;J
10:56:00,252;D;F;J
10:56:00,254;C;G;J
10:56:00,256;H;I;J
10:56:00,258;H;F;J
10:56:00,262;B;G;J
10:56:00,266;J;G;J
10:56:00,266;F;I;J
10:56:00,266;J;J;J
10:56:00,268;J;H;J
10:56:00,270;G;I;J
10:56:00,274;C;I;J
10:56:00,276;D;J;J
10:56:00,278;G;H;J
10:56:00,282;B;I;J
10:56:00,286;F;E;J
10:56:00,286;G;J;J
10:56:00,286;E;D;J
10:56:00,286;I;B;J
10:56:00,287;I;I;J
10:56:00,287;C;I;J
10:56:00,287;J;I;J
10:56:00,287;J;I;J
10:56:00,288;D;G;J
10:56:00,288;F;B;J
10:56:00,288;C;G;J
10:56:00,288;I;E;J
10:56:00,288;G;J;J
10:56:00,288;C;E;J
10:56:00,290;G;J;J
10:56:00,294;D;I;J
10:56:00,295;E;I;J
10:56:00,298;I;E;J
10:56:00,298;E;D;J
10:56:00,299;H;J;J
10:56:00,299;B;H;J
10:56:00,299;H;D;J
10:56:00,299;J;G;J
