TimeStamp;Source1;Source2;Source3
10:56:00,000;H;H;I
10:56:00,001;G;G;B
10:56:00,002;H;B;I
10:56:00,006;G;J;F
10:56:00,010;C;H;G
10:56:00,011;D;I;H
10:56:00,014;H;E;C
10:56:00,017;G;H;C
10:56:00,019;I;J;I
10:56:00,021;E;H;I
10:56:00,025;C;H;E
10:56:00,026;C;E;E
10:56:00,029;B;E;I
10:56:00,033;C;G;I
10:56:00,034;J;G;B
10:56:00,037;E;E;I
10:56:00,041;B;J;B
10:56:00,045;D;G;F
10:56:00,046;B;J;B
10:56:00,047;H;F;F
10:56:00,048;G;D;H
10:56:00,049;E;F;B
10:56:00,052;F;F;G
10:56:00,056;H;J;E
10:56:00,057;I;D;D
10:56:00,060;J;C;D
10:56:00,064;F;J;H
10:56:00,065;B;I;B
10:56:00,067;E;F;C
10:56:00,069;F;E;E
10:56:00,071;J;I;B
10:56:00,076;D;G;I
10:56:00,076;D;C;F
10:56:00,076;C;E;H
10:56:00,077;D;F;J
10:56:00,080;J;D;I
10:56:00,083;D;E;G
10:56:00,085;I;F;I
10:56:00,088;F;J;J
10:56:00,088;F;J;B
10:56:00,092;D;I;H
10:56:00,093;F;C;F
10:56:00,095;I;J;G
10:56:00,099;C;H;E
10:56:00,099;G;F;I
10:56:00,101;G;D;J
10:56:00,103;C;C;C
10:56:00,107;H;C;B
10:56:00,107;H;F;J
10:56:00,107;D;H;E
10:56:00,108;G;I;H
10:56:00,111;F;C;I
10:56:00,113;G;I;C
10:56:00,114;D;F;F
10:56:00,118;H;I;D
10:56:00,122;G;D;B
10:56:00,123;D;J;I
10:56:00,126;E;J;E
10:56:00,127;G;C;G
10:56:00,130;I;B;I
10:56:00,130;F;J;B
10:56:00,131;H;E;B
10:56:00,133;B;F;H
10:56:00,135;I;E;E
10:56:00,138;F;G;D
10:56:00,139;J;J;J
10:56:00,142;J;E;J
10:56:00,142;B;D;I
10:56:00,142;J;F;E
10:56:00,143;B;I;C
10:56:00,148;E;J;J
10:56:00,152;E;D;F
10:56:00,156;D;D;J
10:56:00,157;E;I;E
10:56:00,159;E;F;F
10:56:00,161;F;E;G
10:56:00,162;F;E;D
10:56:00,162;H;D;D
10:56:00,163;E;G;I
10:56:00,164;J;J;J
10:56:00,167;F;I;H
10:56:00,170;B;C;I
10:56:00,171;G;B;G
10:56:00,172;H;J;H
10:56:00,172;H;J;F
10:56:00,176;I;F;H
10:56:00,178;D;G;B
10:56:00,179;D;H;B
10:56:00,183;B;J;J
10:56:00,185;E;E;B
10:56:00,187;D;B;B
10:56:00,189;G;C;I
10:56:00,192;C;G;F
10:56:00,195;G;C;B
10:56:00,196;G;E;H
10:56:00,199;B;J;F
10:56:00,200;F;J;I
10:56:00,203;I;D;I
10:56:00,207;D;E;J
10:56:00,208;I;G;F
10:56:00,211;E;D;G
10:56:00,212;F;C;G
10:56:00,215;D;F;J
10:56:00,219;H;G;J
10:56:00,220;J;G;H
10:56:00,223;J;G;E
10:56:00,225;C;G;H
10:56:00,227;F;H;J
10:56:00,231;E;G;H
10:56:00,232;E;E;H
10:56:00,234;G;J;I
10:56:00,236;J;B;B
10:56:00,238;G;D;E
10:56:00,243;C;D;E
10:56:00,243;E;E;B
10:56:00,244;J;D;E
10:56:00,246;D;I;E
10:56:00,250;J;I;E
10:56:00,252;H;J;H
10:56:00,254;C;D;I
10:56:00,256;H;I;C
10:56:00,258;H;C;I
10:56:00,262;E;J;B
10:56:00,266;J;F;B
10:56:00,266;G;J;E
10:56:00,266;G;E;I
10:56:00,268;G;J;J
10:56:00,270;H;B;J
10:56:00,274;G;J;C
10:56:00,276;F;H;I
10:56:00,278;H;J;C
10:56:00,282;E;I;H
10:56:00,286;F;G;E
10:56:00,286;H;I;G
10:56:00,286;D;B;E
10:56:00,286;I;D;E
10:56:00,287;C;F;F
10:56:00,287;B;C;J
10:56:00,287;B;D;J
10:56:00,287;I;F;D
10:56:00,288;F;G;E
10:56:00,288;F;D;E
10:56:00,288;E;C;H
10:56:00,288;G;J;J
10:56:00,288;D;I;F
10:56:00,288;C;H;D
10:56:00,290;E;H;C
10:56:00,294;C;E;H
10:56:00,295;J;G;C
10:56:00,298;C;D;I
10:56:00,298;G;I;F
10:56:00,299;G;C;G
10:56:00,299;E;F;H
10:56:00,299;E;D;F
10:56:00,299;E;G;E
10:56:00,300;I;B;B
10:56:00,300;D;D;D
10:56:00,302;G;D;D
10:56:00,302;F;E;C
10:56:00,302;E;G;J
10:56:00,302;D;H;F
10:56:00,302;C;J;H
10:56:00,302;D;G;B
10:56:00,303;G;C;B
10:56:00,305;G;B;E
10:56:00,310;G;I;H
10:56:00,310;I;F;D
10:56:00,311;F;G;J
10:56:00,314;I;B;H
10:56:00,318;J;G;B
10:56:00,319;D;F;J
10:56:00,321;F;C;B
10:56:00,325;B;I;I
10:56:00,329;C;D;C
10:56:00,330;D;I;C
10:56:00,333;B;G;F
10:56:00,334;C;C;B
10:56:00,337;I;C;J
10:56:00,338;F;E;H
10:56:00,341;J;H;J
10:56:00,345;D;F;F
10:56:00,349;H;C;E
10:56:00,350;E;D;B
10:56:00,353;D;I;G
10:56:00,357;E;G;B
10:56:00,358;B;B;D
10:56:00,361;G;H;F
10:56:00,365;G;F;C
10:56:00,368;E;G;J
10:56:00,372;F;B;G
10:56:00,373;D;B;H
10:56:00,376;B;G;J
10:56:00,380;F;F;B
10:56:00,383;E;B;J
10:56:00,384;F;J;F
10:56:00,387;I;C;H
10:56:00,391;H;H;E
10:56:00,392;D;D;D
10:56:00,395;B;G;J
10:56:00,397;B;C;G
10:56:00,399;B;E;C
10:56:00,399;C;E;H
10:56:00,403;B;I;H
10:56:00,406;F;E;H
10:56:00,407;D;I;C
10:56:00,410;G;J;J
10:56:00,414;E;B;G
10:56:00,414;E;J;B
10:56:00,414;E;I;I
10:56:00,415;C;B;J
10:56:00,415;C;I;B
10:56:00,418;B;C;E
10:56:00,420;I;B;C
10:56:00,422;F;E;F
10:56:00,426;E;F;C
10:56:00,427;J;J;J
10:56:00,427;F;J;G
10:56:00,430;G;D;C
10:56:00,434;J;I;B
10:56:00,438;B;E;H
10:56:00,439;B;D;F
10:56:00,440;G;D;G
10:56:00,442;F;E;B
10:56:00,443;I;H;I
10:56:00,446;D;D;B
10:56:00,450;G;C;G
10:56:00,453;F;H;F
10:56:00,454;I;D;E
10:56:00,457;B;J;F
10:56:00,461;I;E;E
10:56:00,462;J;C;C
10:56:00,465;J;J;B
10:56:00,469;H;E;C
10:56:00,470;F;E;C
10:56:00,472;I;H;I
10:56:00,476;B;D;I
10:56:00,477;I;J;B
10:56:00,481;H;F;J
10:56:00,481;H;D;F
10:56:00,482;F;F;F
10:56:00,484;J;J;F
10:56:00,484;G;H;C
10:56:00,488;H;G;F
10:56:00,489;I;H;D
10:56:00,490;J;I;G
10:56:00,492;B;E;E
10:56:00,493;I;J;H
10:56:00,496;C;H;H
10:56:00,500;D;D;F
10:56:00,502;H;C;E
10:56:00,504;H;D;D
10:56:00,505;B;C;I
10:56:00,508;H;D;F
10:56:00,512;I;G;G
10:56:00,516;I;I;E
10:56:00,517;G;G;F
10:56:00,519;F;I;E
10:56:00,520;H;D;F
10:56:00,521;D;B;B
10:56:00,524;E;I;G
10:56:00,527;H;J;I
10:56:00,529;J;E;E
10:56:00,531;J;D;B
10:56:00,535;E;D;E
10:56:00,552;G;J;G
10:56:00,578;G;H;G
10:56:00,580;C;B;C
10:56:00,586;G;D;F
10:56:00,586;F;I;B
10:56:00,586;D;F;E
10:56:00,586;D;I;I
10:56:00,586;D;F;F
10:56:00,592;H;E;G
10:56:00,593;G;E;G
10:56:00,594;H;H;B
10:56:00,597;I;C;J
10:56:00,598;I;C;H
10:56:00,602;B;I;J
10:56:00,603;D;D;F
10:56:00,603;B;D;I
10:56:00,603;I;I;G
10:56:00,603;F;H;G
10:56:00,603;C;D;F
10:56:00,603;F;J;I
10:56:00,603;H;B;H
10:56:00,604;F;I;H
10:56:00,605;J;E;D
10:56:00,606;B;G;E
10:56:00,611;H;C;E
10:56:00,612;I;G;B
10:56:00,613;F;J;G
10:56:00,617;I;B;I
10:56:00,618;E;C;I
10:56:00,621;C;J;J
10:56:00,625;G;G;C
10:56:00,626;H;I;J
10:56:00,629;E;C;D
10:56:00,633;B;C;G
10:56:00,634;B;C;F
10:56:00,636;G;B;F
10:56:00,640;G;B;I
10:56:00,642;I;F;J
10:56:00,644;H;B;G
10:56:00,648;F;H;I
10:56:00,648;D;G;I
10:56:00,649;H;C;F
10:56:00,649;I;G;I
10:56:00,649;I;C;J
10:56:00,653;E;I;F
10:56:00,655;E;H;I
10:56:00,657;I;D;C
10:56:00,661;I;F;H
10:56:00,665;J;J;C
10:56:00,666;D;I;D
10:56:00,667;D;D;F
